Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
doll,2.0,0.5,0.93,0.89,0.87,1.27
ic,0.0,0.0,0.0,0.0,0.0,0.0
podcast,1.0,1.0,1.4,1.33,1.31,1.27
tit,0.0,0.0,0.0,0.0,0.0,0.0
seasons,10.0,8.52,6.98,7.12,6.53,10.6
peru,8.0,6.01,5.58,5.34,5.66,5.51
interactions,5.0,3.01,2.79,2.67,2.61,2.54
refine,0.0,0.0,0.0,0.0,0.0,0.0
bidder,0.0,0.0,0.0,0.0,0.0,0.0
singer,30.0,42.59,41.86,39.58,38.73,39.44
evans,5.0,6.01,13.95,14.68,14.36,14.0
herald,5.0,4.01,4.65,4.89,5.22,5.09
literacy,0.0,1.5,1.4,1.33,1.31,1.27
fails,0.0,1.5,1.86,1.78,1.74,1.7
aging,0.0,0.5,0.47,0.44,0.44,0.85
nike,0.0,0.0,0.0,0.0,0.0,0.42
intervention,1.0,1.5,1.4,1.33,1.31,1.27
pissing,0.0,0.0,0.0,0.0,0.0,0.0
fed,2.0,1.0,0.93,1.33,1.74,1.7
plugin,0.0,0.0,0.0,0.0,0.0,0.0
attraction,0.0,0.5,0.47,0.44,0.44,0.42
diving,2.0,2.51,2.33,2.22,2.18,2.12
invite,0.0,1.0,0.93,0.89,0.87,0.85
modification,4.0,2.0,1.86,1.78,1.74,1.7
alice,10.0,7.01,7.44,7.12,6.96,6.79
latinas,0.0,0.0,0.0,0.0,0.0,0.0
suppose,0.0,0.0,0.0,0.0,0.0,0.0
customized,0.0,0.0,0.0,0.0,0.0,0.0
reed,3.0,3.51,3.72,3.56,3.48,3.39
involve,1.0,1.0,0.93,0.89,0.87,0.85
moderate,0.0,1.0,0.93,0.89,0.87,0.85
terror,3.0,4.01,4.19,3.56,4.35,4.24
younger,4.0,7.01,6.05,8.0,6.96,7.63
thirty,7.0,3.51,6.05,5.34,6.09,5.51
mice,0.0,0.0,0.0,0.0,0.0,0.0
opposite,5.0,2.51,2.33,2.22,2.18,2.12
understood,2.0,1.0,0.93,0.89,1.31,0.85
rapidly,4.0,3.01,2.79,3.11,3.05,2.97
dealtime,0.0,0.0,0.0,0.0,0.0,0.0
ban,0.0,15.03,14.89,13.34,13.05,12.72
temp,0.0,0.0,0.0,0.0,0.0,0.0
