Date,CS,Art,Bio,Sports,Phy,Philosophy,Chem,Math
20220531,256.1935046049443,175.33882841786732,210.93704544401723,210.17729204614452,193.0125228926397,259.39506691157175,180.60301875732708,198.08736051593195
20220601,256.7806430764259,165.6071993134908,205.7164497151063,215.92884031572555,187.23615304657724,250.3242718446602,176.4292936694021,192.19716576859435
20220602,257.241848440782,165.44844406305046,209.0420160281651,212.45713418336368,185.42577834975003,241.67578063500395,173.54531799531065,191.2716279859137
20220603,238.60261754726127,155.88198365024164,195.91541205355074,208.50886460230723,172.2286789090729,229.30511676725268,165.56480803048066,177.3112563112563
20220604,207.120471804815,156.85208436836638,185.7993699911984,208.86435944140862,178.771172598129,220.88585673051693,163.97168083235638,167.70019941448513
20220605,212.69158183874617,165.1492254189061,195.2279149488118,243.03448694596236,168.56595555115578,237.8085541852532,160.56085140679954,163.09686452543596
20220606,246.66763612861527,167.7557472562215,212.2744244221059,211.8274438372799,185.7373657377617,256.6028863815272,179.27058909730363,191.70779413636558
20220607,257.5860397479399,170.25870556885417,212.3606337147357,202.7467516697025,184.77978518041874,250.60388349514562,180.1130568581477,195.79820951249522
20220608,249.39741476813703,164.0334673230658,209.00940380784732,202.74256223436552,183.76676731178537,248.1178168459722,178.030444021102,193.3369256226399
20220609,249.72803360801421,159.6631588455806,209.50201510168156,197.75434122647238,178.90085630846903,241.80440829178693,173.00208821805393,187.7949849378421
20220610,239.50117951203748,163.8416512352649,209.566915273081,200.35069823922282,175.3229223382666,236.70873786407768,169.73867966002345,180.23276337562052
20220611,208.29235740830507,163.76749017659546,200.3043498401816,206.2577413479053,154.6353511854675,225.62660718971398,155.1328033411489,156.23284823284823
20220612,219.87274196154468,168.36628878551105,210.03831009403808,227.08142076502733,164.18764539919815,244.1836788244555,160.3529088511137,168.97203954346813
20220613,258.25735983195995,170.34817758908812,223.59257886691063,209.73448694596235,188.37444933920705,261.793964838625,179.64727432590857,196.9005049005049
20220614,256.2271449345613,170.02113725667314,220.58187798211887,240.15324833029752,190.54175122506558,257.73739176069273,184.10104044548652,199.88798845941704
20220615,254.69229277750847,162.40242084820017,216.44605549636356,205.38166363084395,185.26006038707123,248.43563369194436,181.6098329425557,194.6316347744919
20220616,251.83115204394895,163.01079445372838,207.70801871496735,205.78949605343047,181.25451665594218,245.1620572028339,174.90269636576787,188.92621664050236
20220617,238.04595249636452,153.4642970055553,194.5540834761662,241.38846387370978,165.85130921150324,228.2220939385988,164.4187426729191,171.270058127201
