Date,de,en,es,fr,CS
20201010,200.49816007359706,815.9427244582043,543.6142857142858,207.69204152249134,
20201011,252.4797608095676,828.4174406604748,559.2219047619047,232.36262975778547,
20201012,246.04001839926403,865.968180254558,792.7390476190476,229.15847750865052,
20201013,225.95584176632934,829.249914000688,762.8066666666666,233.44152249134947,
20201014,233.18767249310028,817.0983832129343,710.8380952380952,230.7425605536332,
20201015,215.1904323827047,809.6286549707602,700.5790476190476,223.58685121107266,
20201016,228.8109475620975,784.7862057103544,640.0638095238095,196.64290657439446,
20201017,211.33532658693653,817.9241486068112,542.3019047619048,193.65190311418687,
20201018,233.3965041398344,840.3173374613003,554.7342857142858,219.22837370242215,
20201019,237.59613615455382,846.2702098383213,687.1666666666666,224.2166089965398,
20201020,222.74011039558417,825.4941520467836,692.0228571428571,212.20207612456747,
20201021,222.58371665133396,830.0380116959064,704.4352380952381,200.35294117647058,
20201022,231.28104875804968,811.7308221534228,705.6580952380953,212.69411764705882,
20201023,242.26310947562098,779.0442036463709,652.2542857142857,205.60346020761244,
20201024,238.0740570377185,769.5639834881321,547.3447619047619,218.88581314878894,
20201025,272.747470101196,844.9148606811145,588.6285714285714,253.75570934256055,
20201026,254.65547378104876,860.5646714826281,707.6419047619048,235.83044982698962,
20201027,267.93330266789326,865.6126590987272,709.5123809523809,223.16539792387545,
20201028,230.90064397424104,849.3644650842793,719.2961904761905,189.56608996539794,
20201029,222.8707451701932,856.593223254214,721.9695238095238,177.3847750865052,
20201030,231.55841766329345,853.6785345717234,675.1038095238096,209.0076124567474,
20201031,239.10395584176632,838.235466116271,541.6180952380953,267.6975778546713,
20201101,266.04415823367066,895.8183694530444,545.1809523809524,308.4470588235294,
20201102,235.93146274149035,930.2696938424492,612.3057142857143,253.56332179930797,
20201103,242.196872125115,1012.2533539731683,682.6552380952381,233.94048442906575,
20201104,247.7378104875805,1799.1448228414172,775.3228571428572,247.91072664359862,
20201105,245.46688132474702,1214.2862057103544,746.2742857142857,234.82629757785466,
20201106,236.82520699172034,1020.6222910216718,685.4485714285714,227.1674740484429,
20201107,232.048758049678,1046.8796009631924,608.1171428571429,254.16955017301038,
20201108,282.860625574977,1104.7468180254557,622.7038095238095,281.30657439446367,
20201109,283.3348666053358,996.376160990712,707.7685714285715,247.99653979238755,
20201110,259.8620055197792,941.6038871689027,723.8428571428572,239.75501730103807,
20201111,255.17065317387303,934.5816993464052,734.4180952380952,268.9522491349481,
20201112,260.46734130634775,918.9754041967665,735.8238095238095,235.30311418685122,
20201113,226.32382704691813,856.782249742002,665.3866666666667,224.01038062283737,
20201114,238.9130634774609,877.4848641210871,566.3304761904762,244.75570934256055,
20201115,322.4549218031279,999.7129342965256,622.3152380952381,290.0961937716263,
20201116,254.25114995400185,1032.1100791193671,732.5504761904762,254.99307958477507,
20201117,255.20147194112235,1027.282937736498,847.755238095238,251.60415224913496,
20201118,266.1996320147194,1012.2248022015824,854.8085714285714,253.67543252595155,
20201119,249.01517939282428,983.6152390780874,897.407619047619,257.0740484429066,
20201120,235.6136154553818,987.8637770897833,902.4095238095238,242.39031141868512,
20201121,253.6522539098436,1008.7800137598899,677.0571428571428,270.27474048442906,
20201122,278.5745170193192,1082.3388372893016,705.4133333333333,350.74048442906576,
20201123,259.2378104875805,1022.1074991400069,768.1295238095238,277.44498269896195,
20201124,246.4935602575897,946.2721018231854,759.6580952380953,259.07474048442907,
20201125,236.90478380864766,921.0065359477125,781.4704761904762,257.87543252595157,
