Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
records,77.0,84.16,84.92,78.86,74.69,75.5
st,29.0,28.69,28.93,26.58,25.46,24.89
district,6.0,5.74,5.6,5.32,8.49,10.79
calendar,18.0,18.17,16.8,15.95,14.43,20.74
costs,60.0,60.25,61.59,65.57,66.21,64.71
style,126.0,115.73,107.31,123.17,119.68,123.62
url,31.0,30.61,32.66,26.58,26.31,24.89
front,67.0,69.82,68.12,66.46,63.66,60.56
statement,91.0,76.51,76.52,72.66,71.3,68.86
update,111.0,111.9,113.84,120.51,121.38,130.25
parts,133.0,136.77,135.31,133.8,138.35,139.38
aug,18.0,20.08,18.66,17.72,12.73,12.44
ever,60.0,63.12,60.66,70.89,76.39,75.5
downloads,17.0,17.22,13.06,9.75,8.49,7.47
early,282.0,288.84,294.88,306.6,306.42,316.92
miles,19.0,22.0,18.66,16.84,16.98,15.76
sound,69.0,69.82,74.65,51.39,51.78,51.44
resource,96.0,87.99,87.72,87.73,93.37,87.94
present,160.0,157.81,155.84,153.3,155.33,153.48
applications,872.0,884.68,875.3,869.28,847.95,836.28
either,205.0,198.93,199.69,212.67,202.01,204.92
ago,24.0,27.74,21.46,21.27,22.07,22.4
document,142.0,136.77,135.31,141.78,135.81,130.25
word,208.0,204.67,203.43,207.35,198.62,199.94
works,195.0,196.07,196.9,194.95,206.26,204.92
material,78.0,81.3,84.92,81.52,85.73,83.79
bill,50.0,51.65,49.46,44.31,41.59,43.14
apr,29.0,27.74,27.06,24.81,22.92,22.4
written,245.0,248.67,241.69,243.68,239.36,218.2
talk,48.0,52.6,44.79,42.53,40.74,38.99
federal,54.0,57.38,54.12,52.28,53.47,53.93
hosting,8.0,9.56,11.2,14.18,11.03,10.79
rules,313.0,302.23,302.34,302.17,286.05,297.01
final,168.0,181.72,186.63,191.4,188.43,181.69
adult,9.0,8.61,10.26,9.75,10.19,9.96
tickets,7.0,6.69,6.53,11.52,7.64,7.47
thing,58.0,94.69,89.58,87.73,89.12,87.11
centre,106.0,109.99,92.38,84.18,84.03,83.79
requirements,109.0,109.03,106.38,101.02,99.31,104.53
via,317.0,317.53,317.27,330.52,324.24,311.95
cheap,16.0,15.3,14.93,16.84,16.98,16.59
nude,24.0,22.95,22.4,17.72,16.98,24.89
kids,8.0,8.61,8.4,7.09,7.64,7.47
finance,28.0,25.82,21.46,20.38,21.22,23.23
true,238.0,209.46,220.22,217.1,218.99,219.03
minutes,40.0,41.13,41.99,40.76,38.2,43.14
else,38.0,38.26,38.26,35.44,33.1,33.19
mark,87.0,87.03,83.05,69.12,67.06,69.69
third,251.0,259.19,257.55,257.86,268.22,265.49
rock,20.0,19.13,17.73,19.49,22.92,21.57
gifts,0.0,0.0,0.0,0.89,0.85,0.83
europe,56.0,59.3,55.99,60.26,60.26,66.37
reading,60.0,59.3,57.86,57.6,61.96,63.05
topics,67.0,68.86,66.25,64.69,63.66,66.37
bad,24.0,25.82,27.99,25.7,22.92,21.57
individual,240.0,237.19,243.55,247.23,247.85,248.89
tips,4.0,2.87,3.73,2.66,1.7,1.66
plus,45.0,42.08,41.06,44.31,48.38,54.76
auto,37.0,39.21,39.19,34.56,39.89,37.33
cover,51.0,56.43,56.92,55.83,62.81,58.07
usually,184.0,164.5,160.5,163.93,170.61,166.76
edit,9.0,8.61,8.4,7.09,8.49,9.96
together,209.0,205.63,196.9,196.72,197.77,194.14
videos,133.0,136.77,138.11,144.44,145.14,161.78
percent,41.0,44.0,38.26,38.99,36.5,42.31
fast,108.0,110.94,119.44,120.51,112.89,112.83
function,773.0,746.96,770.79,779.78,778.35,769.08
fact,123.0,128.16,123.18,124.06,120.53,121.96
unit,156.0,168.33,161.44,157.73,196.07,194.14
getting,27.0,25.82,24.26,26.58,27.16,25.72
global,244.0,257.28,246.35,257.86,256.34,252.21
tech,105.0,109.99,108.25,108.11,107.8,106.19
meet,50.0,46.86,47.59,48.74,44.14,44.8
far,91.0,86.08,84.92,88.61,86.58,81.3
economic,60.0,68.86,71.85,88.61,92.52,86.28
en,60.0,54.52,36.39,26.58,23.77,20.74
player,254.0,268.75,266.88,272.92,274.16,272.95
projects,225.0,229.54,222.09,215.33,209.65,204.09
lyrics,12.0,13.39,13.06,14.18,13.58,16.59
often,386.0,376.83,368.6,374.83,370.93,382.47
subscribe,10.0,9.56,8.4,8.86,8.49,8.3
submit,9.0,7.65,7.47,7.98,7.64,9.13
germany,92.0,87.99,84.92,77.98,79.79,76.33
amount,122.0,126.25,129.71,132.03,129.02,131.08
watch,313.0,329.01,281.81,319.0,330.18,348.45
included,228.0,241.02,245.42,254.32,253.79,258.02
feel,46.0,45.91,45.72,44.31,47.53,46.46
though,134.0,150.16,150.24,159.5,155.33,155.97
bank,41.0,42.08,41.06,40.76,44.99,41.48
risk,177.0,206.59,207.16,211.78,213.05,215.71
thanks,31.0,27.74,27.06,23.93,25.46,24.06
everything,37.0,38.26,35.46,31.01,33.1,34.02
deals,33.0,23.91,19.6,20.38,16.98,16.59
various,393.0,376.83,374.19,383.69,402.33,418.97
words,242.0,232.41,233.29,237.48,230.87,231.47
linux,71.0,65.04,69.05,77.09,77.24,74.67
jul,5.0,4.78,4.67,5.32,5.09,4.98
production,248.0,245.8,266.88,263.18,292.84,291.2
commercial,159.0,158.76,153.04,147.1,148.54,155.14
james,76.0,72.69,67.19,63.8,71.3,68.03
weight,113.0,108.07,109.18,116.08,114.59,113.66
town,13.0,11.48,9.33,7.09,7.64,7.47
heart,82.0,86.08,84.92,89.5,97.61,97.9
advertising,55.0,51.65,49.46,46.08,47.53,48.95
received,172.0,180.76,177.3,177.22,185.04,188.33
choose,72.0,73.64,74.65,75.32,75.54,77.16
treatment,77.0,80.34,80.25,81.52,81.48,75.5
newsletter,9.0,10.52,10.26,9.75,9.34,9.96
archives,20.0,16.26,15.86,12.41,10.19,13.27
points,361.0,357.7,351.8,357.11,344.61,345.13
knowledge,812.0,719.22,714.8,709.78,656.12,641.31
magazine,116.0,121.46,107.31,102.79,89.12,83.79
error,189.0,170.24,178.23,174.57,172.31,179.2
camera,324.0,302.23,307.01,287.99,286.89,275.44
jun,23.0,21.04,13.06,15.95,16.98,14.1
girl,30.0,28.69,27.99,26.58,28.01,27.38
currently,161.0,151.11,148.37,136.46,127.32,124.45
construction,73.0,64.08,60.66,60.26,59.42,56.42
toys,11.0,10.52,9.33,8.86,10.19,10.79
registered,28.0,27.74,27.06,24.81,24.62,26.55
clear,62.0,59.3,58.79,59.37,58.57,58.9
golf,1.0,1.91,1.87,2.66,2.55,2.49
receive,53.0,54.52,54.12,54.05,56.87,58.07
domain,288.0,299.36,301.41,307.48,291.99,297.01
methods,547.0,511.68,518.83,552.94,533.89,530.97
chapter,58.0,48.78,42.93,42.53,40.74,38.16
makes,193.0,179.81,185.7,179.88,181.64,182.52
protection,80.0,78.43,77.45,86.84,85.73,95.41
policies,29.0,29.65,31.73,37.22,37.35,38.16
loan,12.0,12.43,13.06,13.29,12.73,12.44
