Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
fri,3.0,1.46,1.42,2.78,2.72,4.03,34.33333333333334
mods,3.0,4.37,4.25,2.78,4.08,4.03,34.33333333333334
quilt,3.0,4.37,4.25,4.16,4.08,4.03,34.33333333333334
footage,112.37,122.31,123.13,140.17,149.67,150.49,33.92364510100561
rp,82.41,82.99,116.05,117.97,115.65,110.18,33.69736682441452
arcade,134.85,155.8,183.99,181.81,183.68,180.05,33.5187245087134
palestinian,64.43,71.35,72.18,83.27,81.64,86.0,33.4781933881732
cameras,227.74,235.88,253.34,315.04,311.58,303.67,33.34065162026873
worlds,227.74,231.51,226.45,262.3,308.86,303.67,33.34065162026873
planet,332.63,333.43,339.67,434.4,438.12,443.41,33.30427201394944
notifications,52.44,59.7,67.93,61.07,63.95,69.87,33.237986270022894
barry,278.69,275.19,275.98,272.02,268.04,370.85,33.069001399404364
ana,46.45,46.59,53.78,55.51,58.51,61.81,33.06781485468245
donation,43.45,46.59,52.37,55.51,57.15,57.78,32.980437284234746
bids,40.45,40.77,42.46,54.13,54.42,53.75,32.880098887515445
spy,115.37,120.85,138.7,144.34,155.11,153.18,32.772817890266104
horror,71.92,75.71,82.09,88.82,95.24,95.4,32.647385984427146
beats,71.92,75.71,80.67,97.15,92.52,95.4,32.647385984427146
yen,68.92,93.19,91.99,90.21,88.44,91.37,32.573998839233894
yugoslavia,94.39,94.64,87.75,122.13,119.73,124.96,32.38690539252039
adjustments,91.4,87.36,106.15,108.25,115.65,120.93,32.308533916849015
employers,91.4,93.19,100.49,108.25,119.73,120.93,32.308533916849015
deadly,28.47,33.49,35.38,37.47,40.82,37.62,32.13909378292939
hats,28.47,29.12,33.97,45.8,43.54,37.62,32.13909378292939
skirt,28.47,26.21,28.31,29.14,28.57,37.62,32.13909378292939
credit,732.68,762.96,809.55,822.99,942.91,967.44,32.041273134246886
blues,50.94,55.33,56.61,63.84,65.31,67.18,31.88064389477819
pond,25.47,27.66,32.55,33.31,32.65,33.59,31.88064389477819
loving,25.47,26.21,25.48,29.14,28.57,33.59,31.88064389477819
rover,25.47,27.66,26.89,26.37,31.29,33.59,31.88064389477819
ruby,146.83,158.71,165.59,173.48,187.77,193.49,31.77824695225771
pl,146.83,144.15,133.04,201.24,191.85,193.49,31.77824695225771
fiction,338.62,347.99,352.41,352.51,397.3,446.1,31.74059417636289
aurora,47.95,42.22,43.87,69.39,66.67,63.15,31.69968717413972
warnings,47.95,48.05,55.2,56.9,61.23,63.15,31.69968717413972
retrieve,118.37,123.76,120.3,131.85,155.11,155.87,31.68032440652192
desktops,22.47,23.3,24.06,24.98,25.85,29.56,31.55318202047174
charm,22.47,21.84,28.31,30.53,29.93,29.56,31.55318202047174
enhancing,109.38,106.29,113.22,113.8,125.18,143.77,31.44084841835803
racing,109.38,117.94,127.38,130.46,130.62,143.77,31.44084841835803
complaint,64.43,74.26,67.93,72.17,77.56,84.65,31.382896166382114
kazakhstan,64.43,68.43,70.76,88.82,88.44,84.65,31.382896166382114
fear,197.78,202.39,212.29,252.59,258.52,259.33,31.12043684902416
lightning,58.43,59.7,62.27,65.23,68.03,76.59,31.079924696217702
anxiety,97.39,100.47,99.07,122.13,129.26,127.65,31.07095184310505
inclusive,116.87,126.67,148.61,148.5,156.47,153.18,31.06870882176778
rape,38.96,43.68,41.04,45.8,48.98,51.06,31.05749486652978
rack,19.48,20.38,21.23,24.98,27.21,25.53,31.05749486652978
blades,35.96,40.77,39.63,44.41,44.9,47.03,30.78420467185762
replication,248.72,253.35,260.41,266.47,300.7,325.17,30.737375361852692
amd,242.73,263.54,263.25,290.06,300.7,317.11,30.64310138837392
victim,151.33,163.08,167.0,172.09,191.85,197.52,30.522698737857656
stunning,16.48,17.47,21.23,22.21,23.13,21.5,30.461165048543688
struggle,115.37,120.85,140.11,149.89,155.11,150.49,30.441189217300863
highlights,125.86,131.04,138.7,137.4,149.67,163.93,30.24789448593676
highlighted,152.83,158.71,167.0,173.48,194.57,198.86,30.118432244978077
utilities,256.21,275.19,300.04,321.98,322.47,333.23,30.061277858007116
wives,59.93,77.17,75.01,74.94,78.92,77.93,30.03504088102788
lucia,29.97,29.12,26.89,26.37,38.1,38.97,30.03003003003003
derby,29.97,32.03,33.97,36.08,39.46,38.97,30.03003003003003
journalists,151.33,160.16,164.17,180.42,195.93,196.18,29.637216678781463
fireplace,13.48,17.47,16.98,16.65,17.69,17.47,29.5994065281899
footwear,13.48,13.1,11.32,11.1,12.25,17.47,29.5994065281899
italiano,13.48,13.1,15.57,16.65,17.69,17.47,29.5994065281899
mom,13.48,14.56,16.98,13.88,14.97,17.47,29.5994065281899
amend,13.48,16.02,16.98,15.27,16.33,17.47,29.5994065281899
guru,26.97,29.12,29.72,27.76,28.57,34.94,29.55135335558027
refine,67.42,74.26,77.84,79.11,87.08,87.34,29.546128745179473
leather,53.94,77.17,75.01,70.78,66.67,69.87,29.53281423804228
podcasts,53.94,53.87,63.69,62.45,68.03,69.87,29.53281423804228
ships,277.19,272.28,278.81,346.96,349.68,358.76,29.4274685233955
mayor,163.32,176.18,188.23,191.52,198.65,210.96,29.16972814107275
tribes,74.92,78.63,77.84,87.43,87.08,96.74,29.124399359316595
disney,344.61,369.83,394.87,401.09,517.04,444.76,29.061838019790482
answering,85.4,96.1,103.32,102.7,106.13,110.18,29.016393442622952
gen,133.35,149.97,151.44,155.44,167.36,171.99,28.976377952755918
bouquet,23.97,24.75,29.72,29.14,29.93,30.9,28.911138923654566
guys,23.97,23.3,25.48,31.92,31.29,30.9,28.911138923654566
