Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
imagination,1.444e-05,1.465e-05,1.795e-05,1.455e-05,1.751e-05,-0.02451253
hotmail,0.0,0.0,0.0,0.0,0.0,
refurbished,5.02e-06,5.49e-06,5.13e-06,5.25e-06,5.84e-06,0.13840156
joshua,1.319e-05,1.404e-05,1.333e-05,1.362e-05,1.432e-05,0.07426857
armenia,8.16e-06,6.71e-06,1.436e-05,7.43e-06,1.432e-05,-0.00278552
varied,3.453e-05,3.418e-05,3.59e-05,3.436e-05,4.987e-05,0.38913649
grande,1.57e-05,1.465e-05,1.282e-05,1.517e-05,1.273e-05,-0.00702028
closest,6.656e-05,6.53e-05,6.155e-05,6.593e-05,5.836e-05,-0.05182778
activated,6.91e-06,7.93e-06,8.21e-06,7.42e-06,7.43e-06,-0.09500609
actress,0.00014504,0.00014159,0.00012873,0.00014332,0.00012521,-0.02734405
mess,1.88e-06,1.83e-06,1.54e-06,1.86e-06,1.59e-06,0.03246753
conferencing,0.0,0.0,0.0,0.0,0.0,
assign,1.88e-06,2.44e-06,2.05e-06,2.16e-06,3.18e-06,0.55121951
armstrong,3.83e-05,3.784e-05,3.847e-05,3.807e-05,3.555e-05,-0.0759033
politicians,2.449e-05,2.319e-05,2.513e-05,2.384e-05,2.6e-05,0.03461998
trackbacks,0.0,0.0,0.0,0.0,0.0,
lit,1.067e-05,9.15e-06,1.333e-05,9.91e-06,5.31e-06,-0.60165041
accommodate,1.695e-05,1.77e-05,1.949e-05,1.733e-05,4.032e-05,1.06875321
tigers,1.256e-05,1.282e-05,1.282e-05,1.269e-05,1.326e-05,0.03432137
aurora,9.42e-06,9.15e-06,6.67e-06,9.29e-06,8.49e-06,0.27286357
una,0.0,0.0,5.1e-07,0.0,0.0,-1.0
slides,1.26e-06,1.83e-06,1.54e-06,1.55e-06,1.06e-06,-0.31168831
milan,1.946e-05,2.197e-05,2e-05,2.072e-05,2.016e-05,0.008
premiere,4.395e-05,4.333e-05,4.154e-05,4.364e-05,4.457e-05,0.07294174
lender,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
villages,3.202e-05,3.174e-05,3.488e-05,3.188e-05,3.342e-05,-0.0418578
shade,7.53e-06,7.32e-06,6.15e-06,7.43e-06,7.96e-06,0.29430894
chorus,2.198e-05,2.136e-05,1.949e-05,2.167e-05,1.963e-05,0.00718317
christine,3.77e-06,3.66e-06,4.62e-06,3.72e-06,4.24e-06,-0.08225108
rhythm,3.014e-05,2.99e-05,2.821e-05,3.002e-05,2.812e-05,-0.00319036
digit,4.4e-06,3.05e-06,3.59e-06,3.72e-06,4.24e-06,0.1810585
argued,4.332e-05,4.272e-05,4.154e-05,4.302e-05,4.404e-05,0.06018296
dietary,4.4e-06,4.88e-06,7.18e-06,4.64e-06,1.114e-05,0.55153203
symphony,5.651e-05,5.493e-05,5.129e-05,5.572e-05,5.252e-05,0.02398128
clarke,2.512e-05,2.563e-05,2.359e-05,2.538e-05,2.494e-05,0.05722764
sudden,2.198e-05,2.136e-05,2.205e-05,2.167e-05,1.432e-05,-0.35056689
accepting,8.16e-06,8.54e-06,8.72e-06,8.35e-06,6.9e-06,-0.2087156
precipitation,2.135e-05,2.014e-05,2.154e-05,2.074e-05,1.645e-05,-0.23630455
marilyn,8.79e-06,8.54e-06,8.72e-06,8.66e-06,6.9e-06,-0.2087156
lions,1.507e-05,1.404e-05,1.333e-05,1.455e-05,1.432e-05,0.07426857
findlaw,0.0,0.0,0.0,0.0,0.0,
ada,9.42e-06,9.15e-06,7.69e-06,9.29e-06,8.49e-06,0.10403121
pools,5.02e-06,4.27e-06,4.1e-06,4.65e-06,3.18e-06,-0.22439024
tb,0.0,0.0,0.0,0.0,0.0,
lyric,5.65e-06,4.88e-06,4.62e-06,5.26e-06,4.24e-06,-0.08225108
claire,1.005e-05,7.93e-06,7.18e-06,8.99e-06,7.43e-06,0.03481894
isolation,1.57e-05,1.465e-05,1.641e-05,1.517e-05,1.963e-05,0.19622182
speeds,1.193e-05,1.343e-05,1.59e-05,1.268e-05,3.183e-05,1.00188679
sustained,6.844e-05,6.896e-05,6.206e-05,6.87e-05,0.00011566,0.86368031
matched,1.381e-05,1.343e-05,1.385e-05,1.362e-05,1.061e-05,-0.23393502
approximate,6.91e-06,6.71e-06,5.13e-06,6.81e-06,6.9e-06,0.34502924
rope,8.16e-06,7.32e-06,6.15e-06,7.74e-06,5.31e-06,-0.13658537
carroll,1.946e-05,2.014e-05,1.539e-05,1.98e-05,1.486e-05,-0.03443795
rational,8.79e-06,9.15e-06,1.333e-05,8.97e-06,1.379e-05,0.03450863
programmer,5.02e-06,5.49e-06,5.64e-06,5.25e-06,5.84e-06,0.03546099
fighters,2.888e-05,2.868e-05,2.923e-05,2.878e-05,2.865e-05,-0.01984263
chambers,1.256e-05,1.404e-05,1.59e-05,1.33e-05,1.592e-05,0.00125786
