Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
human,108.0,110.16,108.38,112.22,109.07,104.98
provided,41.0,40.33,43.16,41.49,43.63,43.97
tv,197.0,195.72,187.02,182.94,177.24,164.2
yes,56.0,55.08,53.71,55.64,52.72,52.04
required,45.0,51.14,55.63,54.69,57.26,59.22
second,359.0,359.98,359.66,359.28,382.66,386.73
hot,46.0,47.21,45.08,45.26,47.26,46.66
accessories,3.0,1.97,1.92,1.89,1.82,1.79
cost,34.0,32.46,31.65,31.12,31.81,34.1
movie,52.0,59.01,56.59,52.81,49.99,46.66
forums,2.0,1.97,1.92,1.89,1.82,1.79
march,351.0,358.01,348.15,345.14,354.48,352.63
la,230.0,228.18,224.43,220.66,218.14,218.04
september,340.0,341.29,340.48,337.59,341.75,336.48
better,64.0,60.0,52.75,50.92,50.9,47.56
say,44.0,43.28,39.32,38.66,38.17,37.69
questions,17.0,18.69,18.22,17.92,17.27,17.05
july,287.0,297.03,311.71,301.76,314.49,318.54
yahoo,7.0,6.88,4.8,5.66,5.45,5.38
going,57.0,55.08,52.75,53.75,54.54,54.73
medical,66.0,64.91,69.05,67.9,69.99,73.58
test,24.0,23.6,24.94,24.52,25.45,26.02
friend,40.0,43.28,43.16,44.32,45.45,44.86
come,65.0,64.91,64.26,62.24,58.17,58.32
dec,4.0,4.92,3.84,2.83,2.73,2.69
server,2.0,1.97,2.88,2.83,2.73,2.69
pc,1.0,0.98,0.96,2.83,2.73,2.69
study,65.0,63.93,68.1,67.9,71.8,75.37
application,23.0,22.62,22.06,21.69,20.0,19.74
cart,1.0,0.98,0.96,0.94,0.91,0.9
staff,53.0,54.09,51.79,48.09,45.45,48.45
articles,40.0,45.24,41.24,36.78,34.54,34.1
san,150.0,148.51,141.95,140.51,144.52,144.46
feedback,7.0,6.88,5.75,5.66,5.45,5.38
again,111.0,109.17,112.21,112.22,111.8,109.47
play,136.0,139.66,141.95,162.2,158.15,155.23
looking,17.0,17.7,20.14,20.75,20.0,18.84
issues,53.0,56.06,61.38,59.41,56.35,58.32
